#,NOMBRE,SEGUIDORES,TP,PAS,TEMA DE INFLUENCIA,ALCANCE POTENCIAL,GUARDAR,INVITAR A LA CAMPAÑA,channel_name,total_subscribers,total_views,total_videos
12,Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ,16.3M,-,Reino Unido,,4.9M,,Ver Perfil,Little Mix,16400000,7838466387,278
13,Little Mix @UCIvqWqjC4aLvp7zI8hzARrA,16.1M,-,Reino Unido,,4.8M,,Ver Perfil,JJ Olatunji,16300000,4275157437,1357
14,JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw,15.9M,-,Reino Unido,,4.8M,,Ver Perfil,F2Freestylers - Ultimate Soccer Skills Channel,14100000,3351639747,781
15,F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g,14M,0.20%,Reino Unido,Celebridad,4.2M,,Ver Perfil,BBC News,16100000,5348354194,21874
16,BBC News @UC16niRr50-MSBwiO3YDb3RA,13.3M,-,Reino Unido,,4M,,Ver Perfil,BBC,14200000,10481292535,19379
17,BBC @UCCj956IF62FbT7Gouszaj9w,12.9M,-,Reino Unido,,3.9M,,Ver Perfil,Awakening Music,14100000,5975345609,941
18,Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA,12.4M,-,संयुक्त अधिराज्य,सङ्गीत,3.7M,,प्रोफ़ाइल देखें,DisneyChannelUK,13000000,13423967969,4526
19,DisneyChannelUK @UCLeuoGy_hUDTBf5Hk0ynrpQ,12.3M,-,संयुक्त अधिराज्य,,3.7M,,प्रोफ़ाइल देखें,colinfurze,13000000,1753897804,399
20,colinfurze @UCp68_FLety0O-n9QU6phsgw,11.9M,0.60%,संयुक्त अधिराज्य,,3.6M,,प्रोफ़ाइल देखें,Mrwhosetheboss,18800000,5497918232,1696
21,Mrwhosetheboss @UCMiJRAwDNSNzuYeN2uWa0pA,11.8M,1.90%,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,TommyInnit,14800000,2390496620,469
22,TommyInnit @UC5p_l5ZeB_wGjO_yDXwiqvw,11.7M,-,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,Morgz,12700000,3536659404,847
23,Morgz @UCBwSufNse8VMBvQM_rCSvgQ,11.6M,0.10%,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,Tiana,11400000,3245155405,1039
24,Tiana @UC6sSkkemzPjmrzS0Y0V_2zw,11.4M,-,संयुक्त अधिराज्य,,3.4M,,प्रोफ़ाइल देखें,Disney Kids,12100000,12423940688,2918
25,DisneyJuniorUK @UC7Gf2tZ8coTX2ckTPgn62iQ,11.2M,-,संयुक्त अधिराज्य,,3.4M,,प्रोफ़ाइल देखें,Emily Tube,11100000,3732831188,727
26,Emily Tube @UC-0D1RlSzcvBoODCKSoLl2g,11M,-,संयुक्त अधिराज्य,,3.3M,,प्रोफ़ाइल देखें,Slogo,11700000,8968841162,6369
27,Slogo @UCHdMK5Ef2El8KbD3L_WgANg,10.9M,-,संयुक्त अधिराज्य,,3.3M,,प्रोफ़ाइल देखें,Jessie J,10600000,5795719260,96
28,Jessie J @UC4pEp0mo54WhEBCTYvjVDJA,10.4M,-,संयुक्त अधिराज्य,,3.1M,,प्रोफ़ाइल देखें,Sing King,12000000,7969537473,4393
29,Sing King @UCwTRjvjVge51X-ILJ4i22ew,10.2M,-,संयुक्त अधिराज्य,,3.1M,,प्रोफ़ाइल देखें,BBC News عربي,11600000,4927048015,40916
30,BBC News عربي @UCelk6aHijZq-GJBBB9YpReA,10.1M,-,संयुक्त अधिराज्य,,3M,,प्रोफ़ाइल देखें,Classic Mr Bean,10500000,3420520942,1759
31,Classic Mr Bean @UCEwIUtFBhaI2L2PuKv0KL2g,9.9M,-,संयुक्त अधिराज्य,,3M,,प्रोफ़ाइल देखें,Syndicate,9610000,2133972216,3530
32,Syndicate @UC1ieoHqKW-yYgDhLHIcx28w,9.7M,-,संयुक्त अधिराज्य,,2.9M,,प्रोफ़ाइल देखें,Gorillaz,11000000,5869500396,363
33,Gorillaz @UCfIXdjDQH9Fau7y99_Orpjw,9.4M,0.10%,संयुक्त अधिराज्य,,2.8M,,प्रोफ़ाइल देखें,Woody & Kleiny,15600000,14430999305,1132
34,Woody & Kleiny @UCoGForHQAmk0_9rI9CABeYw,9.4M,1.10%,संयुक्त अधिराज्य,,2.8M,,प्रोफ़ाइल देखें,Jungle Beat,11700000,5865678282,836
35,Jungle Beat @UChUHOEe7zgYmrv7a_LlpNng,9.3M,-,संयुक्त अधिराज्य,यात्रा,2.8M,,प्रोफ़ाइल देखें,The X Factor UK,9180000,7006714569,5502
36,Julius Dein @juliusdein,9.2M,-,संयुक्त अधिराज्य,,2.8M,,प्रोफ़ाइल देखें,English with Lucy,11000000,507190892,389
37,The X Factor UK @UCEY1ejsweY4DgMwOVJeEaBA,9.1M,0.10%,संयुक्त अधिराज्य,,2.7M,,प्रोफ़ाइल देखें,Shaun the Sheep Official,12100000,6436432532,888
38,English with Lucy @UCz4tgANd4yy8Oe0iXCdSWfA,9M,-,संयुक्त अधिराज्य,,2.7M,,प्रोफ़ाइल देखें,Cartoons for Kids,9010000,3415060923,2530
39,Shaun the Sheep @UCS7H8U-n5mINVJjJsaRtGHg,8.9M,-,संयुक्त अधिराज्य,,2.7M,,प्रोफ़ाइल देखें,Mumbo Jumbo,9370000,3067876558,2081
40,Cartoons for Kids @UC977n5nXRn8MDuGQjwxkOLw,8.7M,-,संयुक्त अधिराज्य,,2.6M,,प्रोफ़ाइल देखें,Top Gear,8980000,4001692236,1893
41,Mumbo Jumbo @UChFur_NwVSbUozOcF_F2kMg,8.5M,1.70%,संयुक्त अधिराज्य,भिडियो गेमिङ,2.6M,,प्रोफ़ाइल देखें,Moonbug Kids - Kids Learning Videos,11300000,8564750275,1595
42,Top Gear @UCjOl2AUblVmg2rA_cRgZkFg,8.4M,-,संयुक्त अधिराज्य,,2.5M,,प्रोफ़ाइल देखें,BBC Radio 1,8260000,3740691742,4912
43,Moonbug Kids - Kids Learning Videos @UC1QqdFv5e9QSEi0eYdfwuqw,8.3M,-,संयुक्त अधिराज्य,,2.5M,,प्रोफ़ाइल देखें,Grian,8530000,2465524160,756
44,BBC Radio 1 @UC-FQUIVQ-bZiefzBiQAa8Fw,8.1M,-,संयुक्त अधिराज्य,,2.4M,,प्रोफ़ाइल देखें,Daz Games,8620000,2726944776,1578
45,Liverpool FC @liverpoolfc,8M,-,संयुक्त अधिराज्य,,2.4M,,प्रोफ़ाइल देखें,Vikkstar123,7600000,2161866376,5046
46,Grian @UCR9Gcq0CMm6YgTzsDxAxjOQ,7.8M,1.80%,संयुक्त अधिराज्य,,2.3M,,प्रोफ़ाइल देखें,PlayToys,7800000,3057538121,973
47,Daz Games @UCDBCCMlFD-hArPbWv38FINA,7.6M,0.30%,संयुक्त अधिराज्य,,2.3M,,प्रोफ़ाइल देखें,carwow,9310000,3951135198,2703
48,Vikkstar123 @UCvwgF_0NOZe2vN4Q3g1bY-A,7.6M,-,संयुक्त अधिराज्य,,2.3M,,प्रोफ़ाइल देखें,Jeremy Lynch,12000000,6399953038,780
49,PlayToys @UCHFA6Nt11kE_8OWIya0SQDQ,7.6M,-,संयुक्त अधिराज्य,,2.3M,,प्रोफ़ाइल देखें,TomSka,7280000,2083121239,178
50,carwow @UCUhFaUpnq31m6TNX2VKVSVA,7.5M,0.20%,संयुक्त अधिराज्य,,2.2M,,प्रोफ़ाइल देखें,The Yogscast,7070000,4577821037,6536
51,Jeremy Lynch @UC5Y1pPVNm-odhiubuRO1D6A,7.4M,-,संयुक्त अधिराज्य,,2.2M,,प्रोफ़ाइल देखें,LDShadowLady,7190000,3447282345,1079
52,TomSka @UCOYWgypDktXdb-HfZnSMK6A,7.2M,2.20%,संयुक्त अधिराज्य,,2.2M,,प्रोफ़ाइल देखें,The Beatles,8320000,7023952511,317
53,YOGSCAST Lewis & Simon @UCH-_hzb2ILSCo9ftVSnrCIQ,7.1M,-,संयुक्त अधिराज्य,समाचारहरू,2.1M,,प्रोफ़ाइल देखें,Passenger,7410000,4567686772,389
54,LDShadowLady @UCzTlXb7ivVzuFlugVCv3Kvg,7M,-,संयुक्त अधिराज्य,भिडियो गेमिङ,2.1M,,प्रोफ़ाइल देखें,MessYourself,6870000,2571241738,1068
55,The Beatles @UCc4K7bAqpdBP8jh1j9XZAww,6.9M,0.10%,संयुक्त अधिराज्य,,2.1M,,प्रोफ़ाइल देखें,MoreSidemen,8550000,4397126622,1034
56,Passenger @UCFHtCB_FWXQ8GpjgfYcD8-g,6.9M,-,संयुक्त अधिराज्य,,2.1M,,प्रोफ़ाइल देखें,Boomerang UK,7380000,3658604825,2377
57,MessYourself @UCrSgaO6xOY8YV1EoCbD51HA,6.9M,-,संयुक्त अधिराज्य,,2.1M,,प्रोफ़ाइल देखें,James Arthur,7410000,4454163779,208
58,MoreSidemen @UCh5mLn90vUaB1PbRRx_AiaA,6.8M,0.60%,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,ARPO The Robot,7700000,3263021595,1375
59,Boomerang UK @UCmst562fALOY2cKb4IFgqEg,6.8M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,24 News HD,7890000,3489877078,169263
60,James Arthur @UCV5Gw7GGOMxe6SSF6llp_3Q,6.8M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,RubyandBonnie,9050000,5273359058,639
61,ARPO The Robot @UCrSx8rek9EuC3YGHvG8aalw,6.7M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,Nickelodeon UK,7020000,7458695487,3291
62,24 News HD @UCcmpeVbSSQlZRvHfdC-CRwg,6.7M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,Mark Ronson,6890000,6587403647,20
63,RubyandBonnie @UC_wITz-Ze4JFc3WLQA1n3Hw,6.6M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,Rhia Official,12900000,6028377245,929
64,Nickelodeon UK @UCHiceVclOIFCgAcveITRLLw,6.6M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,UKF Dubstep,6240000,2126770802,1742
65,Mark Ronson @UCSY5V7BJSrxNvvBF0Drslow,6.5M,-,संयुक्त अधिराज्य,,2M,,प्रोफ़ाइल देखें,TGFbro,6160000,1464183503,472
66,Rhia Official @UCQdsJ95w9jh-yB0BA6EDGWA,6.4M,-,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,Wilbur Soot,5820000,796484833,139
67,UKF Dubstep @UCfLFTP1uTuIizynWsZq2nkQ,6.3M,-,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,Russell Brand,6800000,1304225488,2829
68,TGFbro @UCOgUcv_9DaivXzsN9mcHIzQ,6.2M,0.90%,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,Manchester United,9030000,2235103905,4135
69,Wilbur Soot @UC1n_PfsVqxllCcnMPlxBIjw,6.2M,2.60%,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,Pingu - Official Channel,6940000,2827078003,649
70,Russell Brand @UCswH8ovgUp5Bdg-0_JTYFNw,6.2M,-,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,Mrwhosetheboss Shorts,7110000,3753829865,186
71,Manchester United @UC6yW44UGJJBvYTlfC7CRg2Q,6.2M,0.20%,संयुक्त अधिराज्य,,1.9M,,प्रोफ़ाइल देखें,Niko Omilana,7490000,622484300,141
72,Pingu - Official Channel @UCM88mtSE0zRTn5ae4EbYcuw,6.2M,-,संयुक्त अधिराज्य,,1.8M,,प्रोफ़ाइल देखें,Tiana2,5870000,1644590893,429
73,Mrwhosetheboss Shorts @UCZSlfzadjnw7G419c_OJ9eg,6.1M,-,संयुक्त अधिराज्य,,1.8M,,प्रोफ़ाइल देखें,Capital FM,6150000,3575295895,2581
74,Niko Omilana @UCdcUmdOxMrhRjKMw-BX19AA,6M,16.20%,संयुक्त अधिराज्य,,1.8M,,प्रोफ़ाइल देखें,Simon's Cat,6250000,1587738986,493
75,Tiana Wilson @UC7_yh9PEDpaqp34QtGO-_Yw,5.9M,-,संयुक्त अधिराज्य,,1.8M,,प्रोफ़ाइल देखें,CGP Grey,6380000,1040007733,189
76,Capital FM @UCZzwjZPc6R_PbnDgFVMwlvQ,5.8M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Jamie Oliver,5940000,965100909,2137
77,Simon's Cat @UCH6vXjt-BA7QHl0KnfL-7RQ,5.8M,0.30%,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Dumori Bay,5340000,1130880,225
78,CGP Grey @UC2C_jShtL725hvbm1arSV9w,5.8M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Space Videos,5640000,114580062,142
79,Jamie Oliver @UCpSgg_ECBj25s9moCDfSTsA,5.8M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Real Stories,6330000,1176194099,1108
80,ChrisMD @sirhcchris2010,5.6M,2.20%,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,More Emily,5290000,1480607425,634
81,Dumori Bay @UC-VDfQNL-S44eZscGlXI14g,5.6M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,GRM Daily,6350000,7575027416,14899
82,Space Videos @UCakgsb0w7QB0VHdnCc-OVEA,5.5M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Joe Weller,5290000,1016355308,321
83,Real Stories @UCu4XcDBdnZkV6-5z2f16M0g,5.5M,-,संयुक्त अधिराज्य,प्रसिद्धि,1.7M,,प्रोफ़ाइल देखें,WildBrain Kids,8820000,4220954874,5017
84,More Emily @UCO66lK14MYiXlu0A6pQ4ouA,5.4M,-,संयुक्त अधिराज्य,,1.6M,,प्रोफ़ाइल देखें,Sky News,7770000,4403464100,48545
85,GRM Daily @UCqTwKvjbTENZDGbz2si47ag,5.3M,-,संयुक्त अधिराज्य,,1.6M,,प्रोफ़ाइल देखें,Jarvis,5670000,1710441567,724
86,Joe Weller @UCLk9wddjT0F-HILLRFXodtg,5.3M,1.90%,संयुक्त अधिराज्य,,1.6M,,प्रोफ़ाइल देखें,Thoughty2,5430000,1051538587,827
87,WildBrain Kids @UCbmWOFTbZoDLWqG1rvFnJ0g,5.2M,-,संयुक्त अधिराज्य,प्रसिद्धि,1.6M,,प्रोफ़ाइल देखें,Behzinga,4960000,580520000,872
88,Sky News @UCoMdktPbSTixAyNGwb-UYkQ,5.2M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,BBC Learning English,6640000,345349971,3636
89,Jarvis @UCvxfEIG3PHpgM0TMJJ_SH-w,5M,0.80%,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,Max and Katy,4720000,1317097526,508
90,Thoughty2 @UCRlICXvO4XR4HMeEB9JjDlA,5M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,Man City,7450000,2026818311,8428
91,TheDadLab @thedadlab,5M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,Wisp,5210000,1087964148,525
92,Behzinga @UCHhfSXoDG6gSgpOvLH4wrRw,4.9M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,WillNE,5040000,859402695,305
93,BBC Learning English @UCHaHD477h-FeBbVh9Sh7syA,4.8M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Zerkaa,4710000,858756204,2023
94,Max and Katy @UCvZwcK22QTUaM18KE7mHeNw,4.8M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Ben Phillips,4540000,1274401257,861
95,Man City @UCkzCjdRMrW2vXLx8mvPVLdQ,4.8M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Roxxsaurus,4580000,542162320,953
96,Wisp @UC0h07r_UgTD0Tc-Dn5XLX3g,4.7M,1.10%,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,NoCopyrightSounds,33700000,11131208978,1673
97,WillNE @UCaFUrR3oSxOl5Y9y6tvLTEg,4.7M,2.40%,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,DanTDM,28700000,19837541254,3709
98,Zerkaa @UChntGq8THlUokhc1tT-M2wA,4.7M,2.30%,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,KSI,24100000,6015064768,1252
99,Ben Phillips @UChoQQRDf-zU1h6_YjKkWvdw,4.6M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Mister Max,24500000,16079673597,1146
100,Roxxsaurus @UCBKFH7bU2ebvO68FtuGjyyw,4.5M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Jelly,23600000,15089743501,6435
,,,,,,,,,Miss Katy,24600000,15627702208,1089
,,,,,,,,,Dua Lipa,23600000,13183103352,271
,,,,,,,,,Dan Rhodes,27000000,18796372257,1664
,,,,,,,,,Ali-A,18900000,6514892100,4355
,,,,,,,,,Gaby and Alex,17200000,8695680855,367
,,,,,,,,,Queen Official,17700000,11397708642,1186
,,,,,,,,,Little Mix,16400000,7838466387,278
,,,,,,,,,JJ Olatunji,16300000,4275157437,1357
,,,,,,,,,F2Freestylers - Ultimate Soccer Skills Channel,14100000,3351639747,781
,,,,,,,,,BBC News,16100000,5348354194,21874
,,,,,,,,,BBC,14200000,10481292535,19379
,,,,,,,,,Awakening Music,14100000,5975345609,941
,,,,,,,,,DisneyChannelUK,13000000,13423967969,4526
,,,,,,,,,colinfurze,13000000,1753897804,399
,,,,,,,,,Mrwhosetheboss,18800000,5497918232,1696
,,,,,,,,,TommyInnit,14800000,2390496620,469
,,,,,,,,,Morgz,12700000,3536659404,847
,,,,,,,,,Tiana,11400000,3245155405,1039
,,,,,,,,,Disney Kids,12100000,12423940688,2918
,,,,,,,,,Emily Tube,11100000,3732831188,727
,,,,,,,,,Slogo,11700000,8968841162,6369
,,,,,,,,,Jessie J,10600000,5795719260,96
,,,,,,,,,Sing King,12000000,7969537473,4393
,,,,,,,,,BBC News عربي,11600000,4927048015,40916
,,,,,,,,,Classic Mr Bean,10500000,3420520942,1759
,,,,,,,,,Syndicate,9610000,2133972216,3530
,,,,,,,,,Gorillaz,11000000,5869500396,363
,,,,,,,,,Woody & Kleiny,15600000,14430999305,1132
,,,,,,,,,Jungle Beat,11700000,5865678282,836
,,,,,,,,,The X Factor UK,9180000,7006714569,5502
,,,,,,,,,English with Lucy,11000000,507190892,389
,,,,,,,,,Shaun the Sheep Official,12100000,6436432532,888
,,,,,,,,,Cartoons for Kids,9010000,3415060923,2530
,,,,,,,,,Mumbo Jumbo,9370000,3067876558,2081
,,,,,,,,,Top Gear,8980000,4001692236,1893
,,,,,,,,,Moonbug Kids - Kids Learning Videos,11300000,8564750275,1595
,,,,,,,,,BBC Radio 1,8260000,3740691742,4912
,,,,,,,,,Grian,8530000,2465524160,756
,,,,,,,,,Daz Games,8620000,2726944776,1578
,,,,,,,,,Vikkstar123,7600000,2161866376,5046
,,,,,,,,,PlayToys,7800000,3057538121,973
,,,,,,,,,carwow,9310000,3951135198,2703
,,,,,,,,,Jeremy Lynch,12000000,6399953038,780
,,,,,,,,,TomSka,7280000,2083121239,178
,,,,,,,,,The Yogscast,7070000,4577821037,6536
,,,,,,,,,LDShadowLady,7190000,3447282345,1079
,,,,,,,,,The Beatles,8320000,7023952511,317
,,,,,,,,,Passenger,7410000,4567686772,389
,,,,,,,,,MessYourself,6870000,2571241738,1068
,,,,,,,,,MoreSidemen,8550000,4397126622,1034
,,,,,,,,,Boomerang UK,7380000,3658604825,2377
,,,,,,,,,James Arthur,7410000,4454163779,208
,,,,,,,,,ARPO The Robot,7700000,3263021595,1375
,,,,,,,,,24 News HD,7890000,3489877078,169263
,,,,,,,,,RubyandBonnie,9050000,5273359058,639
,,,,,,,,,Nickelodeon UK,7020000,7458695487,3291
,,,,,,,,,Mark Ronson,6890000,6587403647,20
,,,,,,,,,Rhia Official,12900000,6028377245,929
,,,,,,,,,UKF Dubstep,6240000,2126770802,1742
,,,,,,,,,TGFbro,6160000,1464183503,472
,,,,,,,,,Wilbur Soot,5820000,796484833,139
,,,,,,,,,Russell Brand,6800000,1304225488,2829
,,,,,,,,,Manchester United,9030000,2235103905,4135
,,,,,,,,,Pingu - Official Channel,6940000,2827078003,649
,,,,,,,,,Mrwhosetheboss Shorts,7110000,3753829865,186
,,,,,,,,,Niko Omilana,7490000,622484300,141
,,,,,,,,,Tiana2,5870000,1644590893,429
,,,,,,,,,Capital FM,6150000,3575295895,2581
,,,,,,,,,Simon's Cat,6250000,1587738986,493
,,,,,,,,,CGP Grey,6380000,1040007733,189
,,,,,,,,,Jamie Oliver,5940000,965100909,2137
,,,,,,,,,Dumori Bay,5340000,1130880,225
,,,,,,,,,Space Videos,5640000,114580062,142
,,,,,,,,,Real Stories,6330000,1176194099,1108
,,,,,,,,,More Emily,5290000,1480607425,634
,,,,,,,,,GRM Daily,6350000,7575027416,14899
,,,,,,,,,Joe Weller,5290000,1016355308,321
,,,,,,,,,WildBrain Kids,8820000,4220954874,5017
,,,,,,,,,Sky News,7770000,4403464100,48545
,,,,,,,,,Jarvis,5670000,1710441567,724
,,,,,,,,,Thoughty2,5430000,1051538587,827
,,,,,,,,,Behzinga,4960000,580520000,872
,,,,,,,,,BBC Learning English,6640000,345349971,3636
,,,,,,,,,Max and Katy,4720000,1317097526,508
,,,,,,,,,Man City,7450000,2026818311,8428
,,,,,,,,,Wisp,5210000,1087964148,525
,,,,,,,,,WillNE,5040000,859402695,305
,,,,,,,,,Zerkaa,4710000,858756204,2023
,,,,,,,,,Ben Phillips,4540000,1274401257,861
,,,,,,,,,Roxxsaurus,4580000,542162320,953
